Date,Name,Team,Opp,score1,score2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,Fantasy,Estimated_MP_3,Estimated_score1,mean_FG,mean_FGA,mean_FT,mean_FTA,mean_ORB,mean_DRB,mean_AST,mean_STL,mean_BLK,mean_TOV,mean_PF,mean_PTS,mean_+-,Opp_Fantasy_Granted,prediction
20200114,Kelly Oubre,Pho,Atl,110,123,37.47,4,16,0.25,0,5,0.0,3,6,0.5,0,3,3,1,0,1,0,6,11,-16,3.35,36.93,100.33333333333333,7.5806716479185505,14.85811642992036,2.8301174152229254,3.6387223910009046,1.3139830856392154,6.670991050168324,2.021512439444947,1.9204368174726996,0.5053781098612368,1.3139830856392154,3.1333442811396677,20.720502504310705,0.606453731833484,163.8,23.707209827367414
20200114,Devin Booker,Pho,Atl,110,123,34.07,12,23,0.522,2,4,0.5,13,13,1.0,2,5,7,3,2,0,3,4,39,-1,41.85,37.74666666666667,100.33333333333333,9.952646016992038,19.70422847808524,7.942010458003747,8.545201125700235,0.30159533384824355,3.0159533384824355,6.836160900560187,1.1058495574435596,0.10053177794941452,3.9207393400271657,3.11648511643185,29.15421560533021,1.4074448912918032,163.8,31.285118697383112
20200114,Elie Okobo,Pho,Atl,110,123,21.58,0,4,0.0,0,1,0.0,0,0,0.0,1,2,3,3,0,0,0,1,0,-16,0.5999999999999996,13.049999999999999,100.33333333333333,1.727047146401985,3.5620347394540937,1.1873449131513647,1.6191066997518608,0.21588089330024812,1.4032258064516128,1.942928039702233,0.43176178660049624,0.10794044665012406,0.43176178660049624,0.8635235732009925,5.289081885856079,0.43176178660049624,163.8,8.931962025525369
20200114,Dario Šarić,Pho,Atl,110,123,18.42,1,4,0.25,0,1,0.0,2,2,1.0,0,1,1,2,1,0,0,0,4,-8,6.05,20.096666666666664,100.33333333333333,2.518221498235282,6.295553745588204,0.6295553745588205,1.0072885992941127,1.259110749117641,3.147776872794102,1.259110749117641,0.2518221498235282,0.1259110749117641,1.510932898941169,1.385021824029405,6.421464820499968,-7.051020195058789,163.8,10.656330440449272
20200114,Aron Baynes,Pho,Atl,110,123,14.32,1,4,0.25,0,2,0.0,2,2,1.0,2,3,5,2,0,1,1,3,4,-16,6.1,20.50666666666667,100.33333333333333,3.4229393529926084,7.334870042127019,0.896484116259969,1.3039768963781366,1.7114696764963042,4.400922025276211,0.9779826722836024,0.16299711204726708,0.2444956680709006,0.9779826722836024,2.77095090480354,8.394351270434255,0.4889913361418012,163.8,12.462504330397687
20200114,Deandre Ayton,Pho,Atl,110,123,32.48,10,14,0.7140000000000001,0,0,0.0,0,0,0.0,2,8,10,1,0,2,4,2,20,3,27.45,31.163333333333338,100.33333333333333,7.5248507612851325,14.213606993538583,1.254141793547522,1.776700874192323,3.7624253806425663,8.151921658058892,1.8812126903212831,0.5225590806448008,1.5676772419344025,1.776700874192323,3.239866299997765,16.303843316117785,3.030842667739845,163.8,25.72088288671828
20200114,Mikal Bridges,Pho,Atl,110,123,32.32,6,8,0.75,0,2,0.0,3,4,0.75,1,2,3,4,4,1,0,2,15,2,29.3,24.426666666666666,100.33333333333333,2.9168491024161125,5.153100080935133,0.9722830341387043,1.0695113375525747,0.5833698204832225,2.819620799002242,1.0695113375525747,1.361196247794186,0.48614151706935216,0.8750547307248339,2.2362509785190197,7.389351059454153,4.958643474107392,163.8,11.970643142198144
20200114,Cameron Johnson,Pho,Atl,110,123,25.15,3,4,0.75,2,3,0.667,1,1,1.0,1,5,6,3,1,1,1,1,9,-7,17.95,9.596666666666666,100.33333333333333,0.79407209386205,2.443298750344769,0.3054123437930961,0.6108246875861922,0.42757728131033457,1.099484437655146,0.42757728131033457,0.0,0.18324740627585767,0.2443298750344769,0.6719071563448115,2.443298750344769,-1.649226656482719,163.8,5.550788632685144
20200114,Tyler Johnson,Pho,Atl,110,123,14.37,1,7,0.14300000000000002,0,2,0.0,2,4,0.5,1,0,1,0,1,0,1,0,4,-5,1.5,10.066666666666665,100.33333333333333,1.537447968137034,4.069715209774502,0.18087623154553345,0.18087623154553345,0.3617524630910669,1.0852573892732007,0.5426286946366004,0.2713143473183002,0.09043811577276673,0.2713143473183002,0.9948192735004339,3.4366483993651356,-4.341029557092803,163.8,6.34602632124539
20200114,Jevon Carter,Pho,Atl,110,123,6.22,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,4,-1,4.35,5.62,100.33333333333333,0.3762028282152121,1.4107606058070457,0.09405070705380303,0.18810141410760606,0.3762028282152121,0.6113295958497198,0.6113295958497198,0.3762028282152121,0.09405070705380303,0.18810141410760606,0.6113295958497198,0.9405070705380304,-1.8339887875491594,163.8,4.741807428960646
20200114,Ty Jerome,Pho,Atl,110,123,0.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,12.590000000000002,100.33333333333333,1.5223700120918986,4.66225816203144,0.38059250302297465,0.47574062877871837,0.285444377267231,1.3320737605804114,2.0932587666263607,1.0466293833131803,0.0,0.856333131801693,1.2369256348246678,3.9962212817412346,-6.470072551390571,163.8,8.325683428089738
